layer,energy,fiedler_value,hfer,smoothness_index,spectral_entropy
0,0.6006,0.6113,0.4734,0.563,0.5345
1,0.5942,0.6234,0.5439,0.5937,0.5903
2,0.5939,0.6432,0.5267,0.5921,0.5953
3,0.5984,0.6158,0.5262,0.5973,0.5337
4,0.5939,0.6323,0.5185,0.5925,0.5257
5,0.5938,0.6304,0.5154,0.5924,0.5154
6,0.6023,0.6411,0.5214,0.6002,0.5108
7,0.601,0.6299,0.5132,0.5982,0.534
8,0.6075,0.6432,0.518,0.6072,0.5139
9,0.6072,0.5987,0.5229,0.6056,0.5269
10,0.5937,0.6237,0.5317,0.5594,0.5277
11,0.551,0.6169,0.5247,0.5066,0.5279
12,0.5799,0.6191,0.5248,0.6113,0.5909
13,0.6376,0.6409,0.5314,0.6451,0.5967
14,0.6062,0.6118,0.513,0.6289,0.5889
15,0.6233,0.6135,0.4124,0.5952,0.5541
