Block,Train_DS,Test_DS,Layer_ID,Layer_Pos,Probe,AUROC,AUPRC,F1,Opt-F1
Cross-DS (injecagent->advbench),injecagent,advbench,11,2,MLP Probe,0.499,0.5,0.6667,0.6667
Cross-DS (injecagent->advbench),injecagent,advbench,16,3,Linear Probe,0.5826,0.7254,0.5544,0.6667
Cross-DS (injecagent->advbench),injecagent,advbench,16,3,MLP Probe,0.499,0.5,0.0,0.6667
Cross-DS (injecagent->advbench),injecagent,advbench,21,4,Linear Probe,0.6597,0.7196,0.1913,0.6667
Cross-DS (injecagent->advbench),injecagent,advbench,21,4,MLP Probe,0.499,0.5,0.0,0.6667
Cross-DS (injecagent->stealthy),injecagent,stealthy,0,0,Linear Probe,0.9311,0.9468,0.0,0.8772
Cross-DS (injecagent->stealthy),injecagent,stealthy,0,0,MLP Probe,1.0,1.0,0.0,1.0
Cross-DS (injecagent->stealthy),injecagent,stealthy,5,1,Linear Probe,0.5978,0.5849,0.0,0.6977
Cross-DS (injecagent->stealthy),injecagent,stealthy,5,1,MLP Probe,1.0,1.0,0.6667,1.0
Cross-DS (injecagent->stealthy),injecagent,stealthy,11,2,Linear Probe,0.7567,0.7668,0.6747,0.7576
Cross-DS (injecagent->stealthy),injecagent,stealthy,11,2,MLP Probe,1.0,1.0,0.0,1.0
Cross-DS (injecagent->stealthy),injecagent,stealthy,16,3,Linear Probe,0.4022,0.4809,0.5217,0.6667
Cross-DS (injecagent->stealthy),injecagent,stealthy,16,3,MLP Probe,1.0,1.0,0.6667,1.0
Cross-DS (injecagent->stealthy),injecagent,stealthy,21,4,Linear Probe,0.6522,0.6777,0.0,0.6744
Cross-DS (injecagent->stealthy),injecagent,stealthy,21,4,MLP Probe,1.0,1.0,0.0,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,0,0,Linear Probe,0.9916,0.9953,0.9932,0.9942
Cross-DS (stealthy->advbench),stealthy,advbench,0,0,MLP Probe,0.9844,0.9905,0.9613,0.9774
Cross-DS (stealthy->advbench),stealthy,advbench,5,1,Linear Probe,1.0,1.0,0.9784,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,5,1,MLP Probe,1.0,1.0,0.9913,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,11,2,Linear Probe,0.9999,0.9999,0.6752,0.999
